,Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model.Year,Origin
236,granada,honda,18.5,6,250,98,3525,19,77,American
240,thunderbird,honda,16,8,351,149,4335,14.5,77,American
243,corolla liftback,honda,26,4,97,75,2265,18.2,77,Japanese
244,mustang ii 2+2,honda,25.5,4,140,89,2755,15.8,77,American
250,320i,honda,21.5,4,121,110,2600,12.8,77,European
253,fiesta,honda,36.1,4,98,66,1800,14.4,78,American
256,civic cvcc,honda,36.1,4,91,60,1800,16.4,78,Japanese
262,fairmont (auto),honda,20.2,6,200,85,2965,15.8,78,American
263,fairmont (man),honda,25.1,4,140,88,2720,15.4,78,American
272,futura,honda,18.1,8,302,139,3205,11.2,78,American
275,corona,honda,27.5,4,134,95,2560,14.2,78,Japanese
278,celica gt liftback,honda,21.1,4,134,95,2515,14.8,78,Japanese
287,accord lx,honda,29.5,4,98,68,2135,16.6,78,Japanese
